# Projective Geometry PG(2, 8)
# Dimension k: 3, Field size q: 8
# Total Points: 73
# Format: Point_ID: (coord1, coord2, ...)
----------------------------------------
0: (0, 0, 1)
1: (0, 1, 0)
2: (0, 1, 1)
3: (0, 1, 2)
4: (0, 1, 3)
5: (0, 1, 4)
6: (0, 1, 5)
7: (0, 1, 6)
8: (0, 1, 7)
9: (1, 0, 0)
10: (1, 0, 1)
11: (1, 0, 2)
12: (1, 0, 3)
13: (1, 0, 4)
14: (1, 0, 5)
15: (1, 0, 6)
16: (1, 0, 7)
17: (1, 1, 0)
18: (1, 1, 1)
19: (1, 1, 2)
20: (1, 1, 3)
21: (1, 1, 4)
22: (1, 1, 5)
23: (1, 1, 6)
24: (1, 1, 7)
25: (1, 2, 0)
26: (1, 2, 1)
27: (1, 2, 2)
28: (1, 2, 3)
29: (1, 2, 4)
30: (1, 2, 5)
31: (1, 2, 6)
32: (1, 2, 7)
33: (1, 3, 0)
34: (1, 3, 1)
35: (1, 3, 2)
36: (1, 3, 3)
37: (1, 3, 4)
38: (1, 3, 5)
39: (1, 3, 6)
40: (1, 3, 7)
41: (1, 4, 0)
42: (1, 4, 1)
43: (1, 4, 2)
44: (1, 4, 3)
45: (1, 4, 4)
46: (1, 4, 5)
47: (1, 4, 6)
48: (1, 4, 7)
49: (1, 5, 0)
50: (1, 5, 1)
51: (1, 5, 2)
52: (1, 5, 3)
53: (1, 5, 4)
54: (1, 5, 5)
55: (1, 5, 6)
56: (1, 5, 7)
57: (1, 6, 0)
58: (1, 6, 1)
59: (1, 6, 2)
60: (1, 6, 3)
61: (1, 6, 4)
62: (1, 6, 5)
63: (1, 6, 6)
64: (1, 6, 7)
65: (1, 7, 0)
66: (1, 7, 1)
67: (1, 7, 2)
68: (1, 7, 3)
69: (1, 7, 4)
70: (1, 7, 5)
71: (1, 7, 6)
72: (1, 7, 7)
