# Projective Space PG(2, 3)
# Generated: 2026-01-23T00:10:09.427171
# Seed: 1274613661
# k: 3, q: 3
# Expected Points: 13
# Total Points: 13
ID	Vector	Incidence_BitString (행렬을 비트화)
0	(0, 0, 1)	0100100100100
1	(0, 1, 0)	1000111000000
2	(0, 1, 1)	0001100001010
3	(0, 1, 2)	0010100010001
4	(1, 0, 0)	1111000000000
5	(1, 0, 1)	0100001001001
6	(1, 0, 2)	0100010010010
7	(1, 1, 0)	1000000000111
8	(1, 1, 1)	0001001010100
9	(1, 1, 2)	0010010001100
10	(1, 2, 0)	1000000111000
11	(1, 2, 1)	0010001100010
12	(1, 2, 2)	0001010100001
