# Projective Space PG(2, 8)
# Generated: 2026-01-23T00:10:09.410030
# Seed: 62298045
# k: 3, q: 8
# Expected Points: 73
# Total Points: 73
ID	Vector	Incidence_BitString
0	(0, 0, 1)	0100000001000000010000000100000001000000010000000100000001000000010000000
1	(0, 1, 0)	1000000001111111100000000000000000000000000000000000000000000000000000000
2	(0, 1, 1)	0010000001000000001000000001000000001000000001000000001000000001000000001
3	(0, 1, 2)	0000001001000000000000100010000000000100000100000000000010001000000000010
4	(0, 1, 3)	0000000101000000000000010000000010100000000000100000100000010000000001000
5	(0, 1, 4)	0000000011000000000000001000001000010000001000000000000100000100000010000
6	(0, 1, 5)	0001000001000000000100000000010000000001000010000010000000000000100000100
7	(0, 1, 6)	0000100001000000000010000000000100000010000000001000010000100000000100000
8	(0, 1, 7)	0000010001000000000001000000100000000000100000010001000000000010001000000
9	(1, 0, 0)	1111111110000000000000000000000000000000000000000000000000000000000000000
10	(1, 0, 1)	0100000000100000001000000010000000100000001000000010000000100000001000000
11	(1, 0, 2)	0100000000000010000000100000001000000010000000100000001000000010000000100
12	(1, 0, 3)	0100000000000001000000010000000100000001000000010000000100000001000000010
13	(1, 0, 4)	0100000000000000100000001000000010000000100000001000000010000000100000001
14	(1, 0, 5)	0100000000010000000100000001000000010000000100000001000000010000000100000
15	(1, 0, 6)	0100000000001000000010000000100000001000000010000000100000001000000010000
16	(1, 0, 7)	0100000000000100000001000000010000000100000001000000010000000100000001000
17	(1, 1, 0)	1000000000000000011111111000000000000000000000000000000000000000000000000
18	(1, 1, 1)	0010000000100000010000000000100000010000000000100000010000000000100000010
19	(1, 1, 2)	0000001000000010010000000000010000100000000000001001000000000001000010000
20	(1, 1, 3)	0000000100000001010000000010000000000000100010000000001000000100000100000
21	(1, 1, 4)	0000000010000000110000000001000000000010000000010010000000001000000001000
22	(1, 1, 5)	0001000000010000010000000000000100000100001000000000100000000010000000001
23	(1, 1, 6)	0000100000001000010000000000001000000001000001000000000010010000001000000
24	(1, 1, 7)	0000010000000100010000000000000010001000000100000000000100100000000000100
25	(1, 2, 0)	1000000000000000000000000000000000000000000000000111111110000000000000000
26	(1, 2, 1)	0001000000100000000010000000001000000000100100000100000000000001000001000
27	(1, 2, 2)	0010000000000010000001000000000010000001001000000100000000001000000100000
28	(1, 2, 3)	0000000010000001001000000000100000000100000000001100000000010000000000100
29	(1, 2, 4)	0000001000000000100100000000000100001000000000100100000000000100001000000
30	(1, 2, 5)	0000010000010000000000010010000000000010000001000100000000000000100010000
31	(1, 2, 6)	0000000100001000000000100000010000010000000000010100000000100000000000001
32	(1, 2, 7)	0000100000000100000000001001000000100000000010000100000000000010000000010
33	(1, 3, 0)	1000000000000000000000000000000000000000000000000000000001111111100000000
34	(1, 3, 1)	0000100000100000000100000000000010000100000000010000001001000000000010000
35	(1, 3, 2)	0000010000000010001000000000000100010000000010000000000011000000000001000
36	(1, 3, 3)	0010000000000001000000001000010000000010000100000000100001000000001000000
37	(1, 3, 4)	0001000000000000100000100000100000100000000001000000000101000000000100000
38	(1, 3, 5)	0000000100010000000001000000001000001000000000001010000001000000000000010
39	(1, 3, 6)	0000001000001000000000010001000000000000101000000000010001000000000000100
40	(1, 3, 7)	0000000010000100000010000010000000000001000000100001000001000000000000001
41	(1, 4, 0)	1000000000000000000000000000000000000000000000000000000000000000011111111
42	(1, 4, 1)	0000010000100000000000100001000000000001000000001000100000000100010000000
43	(1, 4, 2)	0001000000000010000000001010000000001000000000010000010000010000010000000
44	(1, 4, 3)	0000001000000001000010000000000010010000000001000010000000000010010000000
45	(1, 4, 4)	0010000000000000100000010000001000000100000010000001000000100000010000000
46	(1, 4, 5)	0000100000010000001000000000010000000000100000100000000100001000010000000
47	(1, 4, 6)	0000000010001000000001000000000100100000000100000000001000000000110000000
48	(1, 4, 7)	0000000100000100000100000000100000000010001000000000000010000001010000000
49	(1, 5, 0)	1000000000000000000000000111111110000000000000000000000000000000000000000
50	(1, 5, 1)	0000001000100000000001000100000000000010000010000000000100010000000000001
51	(1, 5, 2)	0000000010000010000100000100000000000000100001000000100000100000000000010
52	(1, 5, 3)	0000100000000001000000100100000000001000001000000001000000000000100001000
53	(1, 5, 4)	0000000100000000101000000100000000000001000100000000010000000010000010000
54	(1, 5, 5)	0010000000010000000010000100000000100000000000010000000010000100000000100
55	(1, 5, 6)	0000010000001000000000001100000000000100000000100010000000000001000100000
56	(1, 5, 7)	0001000000000100000000010100000000010000000000001000001000001000001000000
57	(1, 6, 0)	1000000000000000000000000000000001111111100000000000000000000000000000000
58	(1, 6, 1)	0000000100100000000000001000000101000000000001000001000000001000000000100
59	(1, 6, 2)	0000100000000010000000010000100001000000000100000010000000000100000000001
60	(1, 6, 3)	0001000000000001000001000001000001000000000000100000000010100000000010000
61	(1, 6, 4)	0000010000000000100010000000010001000000001000000000001000010000000000010
62	(1, 6, 5)	0000000010010000000000100000000011000000000010000000010000000001001000000
63	(1, 6, 6)	0010000000001000000100000010000001000000000000001000000100000010000001000
64	(1, 6, 7)	0000001000000100001000000000001001000000000000010000100000000000100100000
65	(1, 7, 0)	1000000000000000000000000000000000000000011111111000000000000000000000000
66	(1, 7, 1)	0000000010100000000000010000010000001000010000000000000010000010000100000
67	(1, 7, 2)	0000000100000010000010000001000000000100010000000000000100000000101000000
68	(1, 7, 3)	0000010000000001000100000000001000100000010000000000010000001000000000001
69	(1, 7, 4)	0000100000000000100001000010000000010000010000000000100000000001000000100
70	(1, 7, 5)	0000001000010000000000001000100000000001010000000000001000100000000001000
71	(1, 7, 6)	0001000000001000001000000000000010000010010000000001000000000100000000010
72	(1, 7, 7)	0010000000000100000000100000000100000000110000000010000000010000000010000
