# Projective Space PG(3, 4)
# Total Points: 85
ID	Vector
0	(0, 0, 0, 1)
1	(0, 0, 1, 0)
2	(0, 0, 1, 1)
3	(0, 0, 1, 2)
4	(0, 0, 1, 3)
5	(0, 1, 0, 0)
6	(0, 1, 0, 1)
7	(0, 1, 0, 2)
8	(0, 1, 0, 3)
9	(0, 1, 1, 0)
10	(0, 1, 1, 1)
11	(0, 1, 1, 2)
12	(0, 1, 1, 3)
13	(0, 1, 2, 0)
14	(0, 1, 2, 1)
15	(0, 1, 2, 2)
16	(0, 1, 2, 3)
17	(0, 1, 3, 0)
18	(0, 1, 3, 1)
19	(0, 1, 3, 2)
20	(0, 1, 3, 3)
21	(1, 0, 0, 0)
22	(1, 0, 0, 1)
23	(1, 0, 0, 2)
24	(1, 0, 0, 3)
25	(1, 0, 1, 0)
26	(1, 0, 1, 1)
27	(1, 0, 1, 2)
28	(1, 0, 1, 3)
29	(1, 0, 2, 0)
30	(1, 0, 2, 1)
31	(1, 0, 2, 2)
32	(1, 0, 2, 3)
33	(1, 0, 3, 0)
34	(1, 0, 3, 1)
35	(1, 0, 3, 2)
36	(1, 0, 3, 3)
37	(1, 1, 0, 0)
38	(1, 1, 0, 1)
39	(1, 1, 0, 2)
40	(1, 1, 0, 3)
41	(1, 1, 1, 0)
42	(1, 1, 1, 1)
43	(1, 1, 1, 2)
44	(1, 1, 1, 3)
45	(1, 1, 2, 0)
46	(1, 1, 2, 1)
47	(1, 1, 2, 2)
48	(1, 1, 2, 3)
49	(1, 1, 3, 0)
50	(1, 1, 3, 1)
51	(1, 1, 3, 2)
52	(1, 1, 3, 3)
53	(1, 2, 0, 0)
54	(1, 2, 0, 1)
55	(1, 2, 0, 2)
56	(1, 2, 0, 3)
57	(1, 2, 1, 0)
58	(1, 2, 1, 1)
59	(1, 2, 1, 2)
60	(1, 2, 1, 3)
61	(1, 2, 2, 0)
62	(1, 2, 2, 1)
63	(1, 2, 2, 2)
64	(1, 2, 2, 3)
65	(1, 2, 3, 0)
66	(1, 2, 3, 1)
67	(1, 2, 3, 2)
68	(1, 2, 3, 3)
69	(1, 3, 0, 0)
70	(1, 3, 0, 1)
71	(1, 3, 0, 2)
72	(1, 3, 0, 3)
73	(1, 3, 1, 0)
74	(1, 3, 1, 1)
75	(1, 3, 1, 2)
76	(1, 3, 1, 3)
77	(1, 3, 2, 0)
78	(1, 3, 2, 1)
79	(1, 3, 2, 2)
80	(1, 3, 2, 3)
81	(1, 3, 3, 0)
82	(1, 3, 3, 1)
83	(1, 3, 3, 2)
84	(1, 3, 3, 3)
