Timestamp,n,k,q,Weights,Points,Phase0_Time,Phase0.5_Time,Phase1.5_Prep_Time,Phase1_Search_Time,Phase2_Time,Status,Total_Sols,Unique_Sols,Nodes,Pruned
2026-01-27 05:49:04,15,4,2,[8],15,0.0083,0.0000,0.0010,1.4051,0.0010,Feasible,1,1,529400,309409
2026-01-27 06:01:10,15,4,2,[8],15,0.0041,0.0020,0.0020,1.520ㅐ,0.0015,Feasible,2,1,529400,309409
2026-01-27 06:05:39,15,4,2,[8],15,0.0062,0.0000,0.0015,0.0321,0.0010,Feasible,1,1,0,0
2026-01-27 06:25:43,10,2,9,[9],10,0.0207,0.0029,0.0187,0.0167,0.0013,Feasible,1,1,0,0
2026-01-27 13:16:13,10,2,9,[9],10,0.0064,0.0010,0.0000,0.0312,0.0010,Feasible,1,1,0,0
2026-01-27 13:31:13,10,2,9,[9],10,0.0113,0.0010,0.0000,0.0026,0.0015,Feasible,1,1,0,0
2026-01-27 13:35:02,10,2,9,[9],10,0.0060,0.0010,0.0000,0.0025,0.0000,Feasible,1,1,0,0
2026-01-27 13:44:01,10,2,9,[9],10,0.0158,0.0006,0.0010,0.0020,0.0000,Optimal,1,1,0,0
2026-01-27 13:54:46,10,2,9,[9],10,0.0056,0.0000,0.0010,0.0019,0.0000,Optimal,1,1,0,0
2026-01-27 14:05:22,6,3,3,[3],13,0.0059,0.0000,0.0000,0.0000,0.0000,Infeasible_Phase0,0,0,0,0
