# Projective Space PG(3, 4)
# Generated: 2026-01-23T00:10:09.423246
# Seed: 877903898
# k: 4, q: 4
# Expected Points: 85
# Total Points: 85
ID	Vector	Incidence_BitString
0	(0, 0, 0, 1)	0100010001000100010001000100010001000100010001000100010001000100010001000100010001000
1	(0, 0, 1, 0)	1000011110000000000001111000000000000111100000000000011110000000000001111000000000000
2	(0, 0, 1, 1)	0010010000100001000011000010000100001100001000010000110000100001000011000010000100001
3	(0, 0, 1, 2)	0000110000001010000101000000101000010100000010100001010000001010000101000000101000010
4	(0, 0, 1, 3)	0001010000010000101001000001000010100100000100001010010000010000101001000001000010100
5	(0, 1, 0, 0)	1111100000000000000001111111111111111000000000000000000000000000000000000000000000000
6	(0, 1, 0, 1)	0100001000100010001001000100010001000010001000100010000100010001000100001000100010001
7	(0, 1, 0, 2)	0100000010001000100011000100010001000000100010001000101000100010001000010001000100010
8	(0, 1, 0, 3)	0100000100010001000101000100010001000001000100010001000010001000100010100010001000100
9	(0, 1, 1, 0)	1000000001111000000001111000000000000000011110000000000000000111100000000000000001111
10	(0, 1, 1, 1)	0010001001000000100101000010000100001010010000001001000100001100001000001001001001000
11	(0, 1, 1, 2)	0000100011000001001001000000101000010000110000010010001000010100000010010010000011000
12	(0, 1, 1, 3)	0001000101000010000011000001000010100001010000100000100010100100000100100000100101000
13	(0, 1, 2, 0)	1000000000000000011111111000000000000000000000000111100001111000000000000000011110000
14	(0, 1, 2, 1)	0001001000001001010001000001000010100010000010010100000101000010000010001010010000010
15	(0, 1, 2, 2)	0010000010010010010001000010000100001000100100100100001001000000100100010000110000100
16	(0, 1, 2, 3)	0000100100100000110001000000101000010001001000001100000011000001001000100001010000001
17	(0, 1, 3, 0)	1000000000000111100001111000000000000000000001111000000000000000011110000111100000000
18	(0, 1, 3, 1)	0000101000010100000011000000101000010010000101000000100100100000110000001100000100100
19	(0, 1, 3, 2)	0001000010100100000101000001000010100000101001000001001000001001010000010100001000001
20	(0, 1, 3, 3)	0010000100001100001001000010000100001001000011000010000010010010010000100100000010010
21	(1, 0, 0, 0)	1111111111111111111110000000000000000000000000000000000000000000000000000000000000000
22	(1, 0, 0, 1)	0100010001000100010000100010001000100010001000100010001000100010001000100010001000100
23	(1, 0, 0, 2)	0100010001000100010000001000100010001000100010001000100010001000100010001000100010001
24	(1, 0, 0, 3)	0100010001000100010000010001000100010001000100010001000100010001000100010001000100010
25	(1, 0, 1, 0)	1000011110000000000000000111100000000000011110000000000001111000000000000111100000000
26	(1, 0, 1, 1)	0010010000100001000010100100000010010010010000001001001001000000100100100100000010010
27	(1, 0, 1, 2)	0000110000001010000100001100000100100000110000010010000011000001001000001100000100100
28	(1, 0, 1, 3)	0001010000010000101000010100001000001001010000100000100101000010000010010100001000001
29	(1, 0, 2, 0)	1000011110000000000000000000000001111000000000000111100000000000011110000000000001111
30	(1, 0, 2, 1)	0001010000010000101000100000100101000010000010010100001000001001010000100000100101000
31	(1, 0, 2, 2)	0010010000100001000010001001001001000000100100100100000010010010010000001001001001000
32	(1, 0, 2, 3)	0000110000001010000100010010000011000001001000001100000100100000110000010010000011000
33	(1, 0, 3, 0)	1000011110000000000000000000011110000000000001111000000000000111100000000000011110000
